PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method
2016p858094,20161113115200,-42.1389,173.4363,81,89,171,171,81,1,6.2,6.1,1.53E+025,8,5,63,64283.83,143034.24,25972.47,-34508.6,4536.22,-29775.23,86,169062.04,7,36,-137656.99,81,254,-31405.06,6,126,1
2016p858260,20161113132100,-41.8538,174.2562,213,70,146,316,58,24,5.7,5.6,2.81E+024,7,6,52,17681.61,-3596.29,-7634.1,-31022.68,6142.79,13341.07,81,24235.97,38,171,7754.74,51,6,-31990.71,8,267,1
2016p858279,20161113133100,-42.2606,173.6596,250,89,-169,160,79,-1,6,6,1.09E+025,6,8,86,74393.94,81370.91,19154.81,-66333.07,-6201.67,-8060.87,79,113430.48,7,24,-105464.53,79,255,-7965.95,8,116,1
2016p858508,20161113153300,-41.7712,174.2409,218,84,-179,128,89,-6,5.3,5.1,6.05E+023,11,7,45,4900.91,-1407.07,-304.09,-6782.98,-755.01,1882.06,81,-7019.4,4,173,5082.38,84,298,1937.02,5,83,1
2016p859524,20161114003400,-42.5579,173.324,249,81,-178,159,88,-9,6.3,6.5,6.11E+025,10,9,97,414582,444945.92,-23759.11,-398950.3,-97989.74,-15631.7,91,616657.12,5,204,-605962.26,81,326,-10694.85,8,114,1
2016p859628,20161114013000,-42.367,173.7613,56,75,114,177,28,34,5.3,5.1,5.26E+023,10,8,40,288.17,3059.55,3115.01,-2187.93,-2633.36,1899.76,75,-6189.32,54,356,1866.84,23,229,4322.48,26,128,1
2016p860215,20161114064300,-41.7324,174.2838,249,62,-170,155,81,-29,5.6,5.3,9.48E+023,16,7,59,6014.94,5310.91,307.39,-6036.57,-5350.93,21.63,78,-10549.96,13,205,8400.14,60,318,2149.82,26,109,1
2016p860224,20161114064700,-42.3196,173.9684,238,52,126,9,50,53,5.7,5.7,3.97E+024,15,5,48,-2586.04,28669.45,-8127.2,-26539.22,-4054.37,29125.26,82,-45650.53,63,212,11820.81,27,34,33829.71,1,304,1
2016p860287,20161114072100,-41.7567,174.3142,239,66,163,336,74,25,5.8,5.5,2.19E+024,17,9,43,12408.42,11167.91,-3516.32,-21932.36,-4246.56,9523.95,77,-25517.92,29,200,18199.37,61,6,7318.55,5,106,1
2016p860567,20161114094900,-42.4273,173.792,188,77,9,96,81,167,5,5.1,5.02E+023,5,4,64,-819.63,4661.37,1172.5,1383.66,1174.19,-564.03,81,5518.74,16,52,-4517.7,74,242,-1001.04,3,142,1
2016p862742,20161115050900,-42.2688,173.6219,204,38,84,31,52,94,5.4,5.1,5.58E+023,17,9,93,-1034.08,2359.14,917.72,-4264.82,-1028.61,5298.9,78,-5672.08,82,324,189.41,3,208,5482.67,7,118,1
2016p862895,20161115063000,-42.246,173.738,163,62,15,66,76,151,5.8,5.2,9.37E+023,16,9,86,4058.21,6147.63,4164.84,-6558.3,-275.23,2500.09,81,-9717.34,30,21,9013.24,58,222,704.1,9,117,1
2016p871889,20161118142200,-42.6762,173.4158,222,18,98,34,72,87,5,5.3,9.51E+023,2,8,77,-1526.9,3576.72,4191.2,-3564.89,-6373.64,5091.79,88,-10087.7,63,301,1152.3,2,34,8935.4,27,126,1
2016p881118,20161122001900,-40.6736,177.2288,253,42,132,22,60,59,5.5,6,1.32E+025,17,10,60,-49371.99,94330.85,3319.4,-42636.27,-53975.38,92008.26,65,-147233.86,61,243,29744.43,27,38,117489.42,10,134,1
2016p881669,20161122051300,-42.8777,172.9936,256,85,-158,164,69,-6,5.7,5.5,2.15E+024,4,11,29,6135.93,17288.97,7013.78,-11968.04,-8539.02,5832.11,86,-26175.25,11,28,16909.57,68,268,9265.69,18,122,1
2016p913880,20161204031500,-41.6823,174.1801,232,82,167,324,78,8,5.5,5.3,1.24E+024,18,10,49,9656.89,3434.88,-1794.69,-13655.11,776.75,3998.23,73,-14208.76,14,188,10576.79,75,19,3631.97,3,278,1
2016p981371,20161229023400,-41.5456,174.4562,43,88,-162,312,72,-2,5.5,5.3,1.07E+024,15,11,77,9659.4,-781.78,-1599.49,-10488.82,3189.59,829.42,72,10029.47,11,176,1302.22,72,49,-11331.7,14,269,1
2017p012082,20170105111700,-41.8535,173.9854,254,51,-155,147,71,-42,5.3,5.3,1.32E+024,11,13,70,9635.26,5481.84,-114.81,-4558.03,-8845.87,-5077.22,84,12157.52,12,205,2116.07,45,307,-14273.59,43,103,1
2019p603895,20190812103500,-44.4823,167.8082,6,36,77,202,55,99,6,5.4,1.64E+024,15,12,69,1724.79,4883.29,-2945.84,-15656.54,4587.98,13931.75,85,-17785.61,78,145,2775.14,8,16,15010.48,10,285,1
2019p665658,20190904070200,-38.8513,175.906,64,51,-67,209,44,-116,5.2,5.1,5.51E+023,9,19,84,2565.09,-3290.84,-1489.54,2205.11,-564.25,-4770.19,80,5728.09,4,138,-443.93,18,228,-5284.16,72,36,1
2019p738432,20191001051600,-39.1126,177.7991,164,40,-65,314,54,-109,5.4,5.2,6.77E+023,16,5,56,2110.48,2024.23,2878.07,4621.38,50.62,-6731.86,80,-7609.54,7,57,1678.96,15,325,5930.58,73,172,1
2019p927023,20191209235800,-38.8683,178.0643,198,74,-98,44,18,-65,5.3,5.1,5.99E+023,12,15,97,700.23,-1600.95,1381.86,2430.28,-4833.85,-3130.5,58,6037.17,28,294,-85.77,7,200,-5951.4,60,97,1
2020p198433,20200314100500,-36.6734,178.8418,167,66,-19,265,73,-155,5.9,5.8,6.31E+024,24,6,29,12465.24,48560.17,28582.33,-14924.89,-34352.79,2459.64,51,-76828.86,5,35,49379.86,60,296,27449,30,128,1
2020p475488,20200624222000,-44.6159,167.4815,45,55,108,195,39,66,6,5.6,2.99E+024,12,14,96,308.4,13300,10250,-14720,-3383,31410,88,28822.71,73,3,543.88,15,214,-29366.59,9,122,2
2020p650426,20200828154700,-36.7675,177.098,69,62,2,338,88,152,5.2,5.5,2.42E+024,6,22,79,-3686,-13570,-1926,22590,-10260,8042,85,22674.86,21,290,-2349.13,62,155,-20325.74,18,27,2
